School_ID,County_Name,School_Name,School_Lat,School_Long,Store_Name,Store_Lat,Store_Long,Store_Address,Store_PlaceID
177,Clayton County, Adamson Middle School,33.5896534,-84.2862233,Publix Super Market at Stockbridge Lakes,33.55506739999999,-84.2324064,"250 East Atlanta Road, Stockbridge",ChIJd1hQSGFW9IgRLD-0eqjpcbA
177,Clayton County, Adamson Middle School,33.5896534,-84.2862233,Family Dollar,33.5834202,-84.31368839999999,"2350 Lake Harbin Road, Morrow",ChIJaV_fEtb-9IgRnuo4JeMnKAI
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,Kroger,33.68236810000001,-84.4093793,"2685 Metropolitan Parkway Southwest, Atlanta",ChIJ98UKmpAC9YgRx_FrB4QSp7o
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,ALDI,33.7137226,-84.35020159999999,"1461 Moreland Avenue Southeast, Atlanta",ChIJNYyG134B9YgRUJOqTz5seeQ
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,Kroger,33.68236810000001,-84.4093793,"2685 Metropolitan Parkway Southwest, Atlanta",ChIJ98UKmpAC9YgRx_FrB4QSp7o
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,ALDI,33.7137226,-84.35020159999999,"1461 Moreland Avenue Southeast, Atlanta",ChIJNYyG134B9YgRUJOqTz5seeQ
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
1050,Clayton County, Anderson Elementary School,33.6405993,-84.33292279999999,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
1550,Clayton County, Arnold Elementary School,33.52397,-84.3468207,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
1550,Clayton County, Arnold Elementary School,33.52397,-84.3468207,ALDI,33.55104550000001,-84.2550409,"5420 North Henry Boulevard, Stockbridge",ChIJ0zKb7T1W9IgR1wzlIeh8LC0
1550,Clayton County, Arnold Elementary School,33.52397,-84.3468207,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
1550,Clayton County, Arnold Elementary School,33.52397,-84.3468207,ALDI,33.4418943,-84.322878,"11499 Tara Boulevard, Lovejoy",ChIJX7zpyuL29IgRptD3eaYlZ14
3050,Clayton County, Babb Middle School,33.60403710000001,-84.35280829999999,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
3050,Clayton County, Babb Middle School,33.60403710000001,-84.35280829999999,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
3050,Clayton County, Babb Middle School,33.60403710000001,-84.35280829999999,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
3050,Clayton County, Babb Middle School,33.60403710000001,-84.35280829999999,ALDI,33.5341018,-84.3697912,"615 North Avenue, Jonesboro",ChIJn1-5qzT69IgRVYRQO4TJAW8
175,Clayton County, Brown Elementary School,33.4951647,-84.363765,ALDI,33.4725516,-84.444543,"1060 Highway 85 North, Fayetteville",ChIJWRZMROfv9IgRIua9mO_7RFA
175,Clayton County, Brown Elementary School,33.4951647,-84.363765,ALDI,33.4418943,-84.322878,"11499 Tara Boulevard, Lovejoy",ChIJX7zpyuL29IgRptD3eaYlZ14
175,Clayton County, Brown Elementary School,33.4951647,-84.363765,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
175,Clayton County, Brown Elementary School,33.4951647,-84.363765,ALDI,33.5341018,-84.3697912,"615 North Avenue, Jonesboro",ChIJn1-5qzT69IgRVYRQO4TJAW8
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,ALDI,33.4725516,-84.444543,"1060 Highway 85 North, Fayetteville",ChIJWRZMROfv9IgRIua9mO_7RFA
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
