County_ID,County_Name,School_ID,School_Name,Percent_FRL,Address,City,State,ZipCode,Latitude,Longitude
631,Clayton County,197, Kendrick Middle School,92.98,7971 Kendrick Road,Jonesboro,GA,30238,32.7266367,-82.7328022
631,Clayton County,197, Kendrick Middle School,92.98,7971 Kendrick Road,Jonesboro,GA,30238,32.7266367,-82.7328022
631,Clayton County,173, Kilpatrick Elementary School,93.01,7534 Tara Rd,Jonesboro,GA,30236,33.5484009,-84.3574277
631,Clayton County,4056, Lake City Elementary School,92.98,5354 Phillips Dr,Lake City,GA,30260,33.6081437,-84.3549443
631,Clayton County,295, Lake Ridge Elementary School,92.98,7900 Lake Ridge Cir,Riverdale,GA,30296,33.5394481,-84.432283
631,Clayton County,1058, Lee Street Elementary School,93.0,178 Lee St,Jonesboro,GA,30236,33.5237851,-84.3559302
631,Clayton County,190, Lovejoy High School,92.98,1587 McDonough Rd,Hampton,GA,30228,33.4446863,-84.33793589999999
631,Clayton County,191, Lovejoy Middle School,92.97,1588 Lovejoy Rd,Hampton,GA,30228,33.4430302,-84.3399082
631,Clayton County,100, M. D. Roberts Middle School,93.03,1905 Walt Stephens Rd,Jonesboro,GA,30236,33.0836517,-83.2664898
631,Clayton County,100, M. D. Roberts Middle School,93.03,1905 Walt Stephens Rd,Jonesboro,GA,30236,33.0836517,-83.2664898
631,Clayton County,100, M. D. Roberts Middle School,93.03,1905 Walt Stephens Rd,Jonesboro,GA,30236,33.5220398,-84.331199
631,Clayton County,100, M. D. Roberts Middle School,93.03,1905 Walt Stephens Rd,Jonesboro,GA,30236,33.5220398,-84.331199
631,Clayton County,215, Martha Ellen Stilwell School for the Performing Arts,93.06,2580 Mount Zion Pkwy,Jonesboro,GA,30236,33.5560605,-84.3064533
631,Clayton County,204, Martin Luther King  Jr. Elementary School,93.0,11850 Hastings Bridge Rd,Hampton,GA,30228,33.4350777,-84.3082211
631,Clayton County,379, Michelle Obama STEM Elementary Academy,92.96,5745 W Lees Mill Rd,College Park,GA,30349,33.5985761,-84.41308099999999
631,Clayton County,2058, Morrow Elementary School,92.99,6115 Reynolds Rd,Morrow,GA,30260,33.58826730000001,-84.3426918
631,Clayton County,4058, Morrow High School,92.99,2299 Old Rex Morrow Rd,Morrow,GA,30260,33.5938501,-84.3139762
631,Clayton County,117, Morrow Middle School,93.0,5934 Trammell Rd,Morrow,GA,30260,33.5941595,-84.3197718
631,Clayton County,117, Morrow Middle School,93.0,5934 Trammell Rd,Morrow,GA,30260,33.5941595,-84.3197718
631,Clayton County,117, Morrow Middle School,93.0,5934 Trammell Rd,Morrow,GA,30260,30.8252737,-83.26782759999999
631,Clayton County,117, Morrow Middle School,93.0,5934 Trammell Rd,Morrow,GA,30260,30.8252737,-83.26782759999999
631,Clayton County,176, Mount Zion Elementary School,92.91,2984 Mount Zion Rd,Jonesboro,GA,30236,33.5558499,-84.29333749999999
631,Clayton County,290, Mount Zion High School,92.96,2535 Mount Zion Pkwy,Jonesboro,GA,30236,33.5545272,-84.3098552
631,Clayton County,109, Mount Zion Primary,93.07,2920 Mount Zion Rd,Jonesboro,GA,30236,33.5564108,-84.2951056
631,Clayton County,104, Mundy's Mill High School,93.02,9652 Fayetteville Rd,Jonesboro,GA,30238,33.4914652,-84.38393769999999
631,Clayton County,174, Mundys Mill Middle School,92.98,1251 Mundys Mill Rd,Jonesboro,GA,30238,33.4862188,-84.3512575
631,Clayton County,2052, North Clayton High School,92.97,1525 Norman Dr,College Park,GA,30349,33.6099636,-84.4423072
631,Clayton County,3052, North Clayton Middle School,92.97,5517 W Fayetteville Rd,College Park,GA,30349,33.6050409,-84.4473366
631,Clayton County,1060, Northcutt Elementary School,92.96,5451 W Fayetteville Rd,College Park,GA,30349,33.6067572,-84.4477057
631,Clayton County,276, Oliver Elementary School,92.95,1725 Cheryl Leigh Dr,Riverdale,GA,30296,33.5787838,-84.4447835
631,Clayton County,378, Perry Career Academy ,92.97,137 Spring St,Jonesboro,GA,30236,33.5242685,-84.3588876
631,Clayton County,181, Pointe South Elementary School,92.98,8482 Thomas Rd,Riverdale,GA,30274,33.5229072,-84.41168569999999
631,Clayton County,277, Pointe South Middle School,92.98,8495 Thomas Rd,Jonesboro,GA,30238,33.5209044,-84.41176779999999
631,Clayton County,207, Rex Mill Middle School,93.02,6380 Evans Dr,Rex,GA,30273,33.5814746,-84.28276869999999
631,Clayton County,2060, Riverdale Elementary School,92.98,6253 Garden Walk Blvd,Riverdale,GA,30274,33.5850886,-84.39239479999999
631,Clayton County,377, Riverdale High School,92.98,160 Roberts Dr,Riverdale,GA,30274,33.5582214,-84.4034673
631,Clayton County,3060, Riverdale Middle School,93.05,400 Roberts Dr,Riverdale,GA,30274,33.5632119,-84.4070483
631,Clayton County,195, River's Edge Elementary School,92.95,205 Northbridge Rd,Fayetteville,GA,30215,33.4200186,-84.3896341
631,Clayton County,195, River's Edge Elementary School,92.95,205 Northbridge Rd,Fayetteville,GA,30215,33.4200186,-84.3896341
631,Clayton County,195, River's Edge Elementary School,92.95,205 Northbridge Rd,Fayetteville,GA,30215,30.8672948,-83.2507262
631,Clayton County,195, River's Edge Elementary School,92.95,205 Northbridge Rd,Fayetteville,GA,30215,30.8672948,-83.2507262
631,Clayton County,200, Roberta T. Smith Elementary School,93.0,6340 Highway 42,Rex,GA,30273,33.5816867,-84.2874318
631,Clayton County,107, Sequoyah Middle School,93.01,95 Valley Hill Rd SW,Riverdale,GA,30274,33.5644337,-84.3868116
631,Clayton County,107, Sequoyah Middle School,93.01,95 Valley Hill Rd SW,Riverdale,GA,30274,33.5644337,-84.3868116
631,Clayton County,107, Sequoyah Middle School,93.01,95 Valley Hill Rd SW,Riverdale,GA,30274,32.1938797,-82.57994649999999
631,Clayton County,107, Sequoyah Middle School,93.01,95 Valley Hill Rd SW,Riverdale,GA,30274,32.1938797,-82.57994649999999
631,Clayton County,4060, Suder Elementary School,92.99,1400 Lake Jodeco Rd,Jonesboro,GA,30236,33.5150776,-84.34561699999999
631,Clayton County,5060, Swint Elementary School,92.93,500 Highway 138 W,Jonesboro,GA,30238,33.534934,-84.375435
631,Clayton County,1062, Tara Elementary School,93.04,937 Mount Zion Rd,Morrow,GA,30260,33.5715965,-84.360202
631,Clayton County,105, Thurgood Marshall Elementary School,92.99,5885 Maddox Rd,Morrow,GA,30260,33.5937354,-84.31812769999999
631,Clayton County,105, Thurgood Marshall Elementary School,92.99,5885 Maddox Rd,Morrow,GA,30260,33.5937354,-84.31812769999999
631,Clayton County,105, Thurgood Marshall Elementary School,92.99,5885 Maddox Rd,Morrow,GA,30260,33.7288772,-82.720109
631,Clayton County,105, Thurgood Marshall Elementary School,92.99,5885 Maddox Rd,Morrow,GA,30260,33.7288772,-82.720109
631,Clayton County,307, Unidos Dual Language School,92.8,4475 Hendrix Dr,Forest Park,GA,30297,33.6322613,-84.3712292
631,Clayton County,2062, West Clayton Elementary School,92.92,5580 Riverdale Rd,College Park,GA,30349,33.6037266,-84.43091900000002
631,Clayton County,5056, William M. McGarrah Elementary School,93.0,2201 Lake Harbin Rd,Morrow,GA,30260,33.5814558,-84.3183743
650,Echols County,112, Echols County Elementary/Middle School,91.28,229 US Highway 129 S,Statenville,GA,31648,30.6998195,-83.0252646
650,Echols County,1050, Echols County High School,91.19,190 Ga Highway 94 E,Statenville,GA,31648,33.6405993,-84.33292279999999
650,Echols County,1050, Echols County High School,91.19,190 Ga Highway 94 E,Statenville,GA,31648,33.6405993,-84.33292279999999
650,Echols County,1050, Echols County High School,91.19,190 Ga Highway 94 E,Statenville,GA,31648,30.6993135,-83.0247246
650,Echols County,1050, Echols County High School,91.19,190 Ga Highway 94 E,Statenville,GA,31648,30.6993135,-83.0247246
683,Johnson County,197, Johnson County Elementary School,94.33,2160 W Elm St,Wrightsville,GA,31096,33.5366617,-84.387879
683,Johnson County,197, Johnson County Elementary School,94.33,2160 W Elm St,Wrightsville,GA,31096,33.5366617,-84.387879
683,Johnson County,197, Johnson County Elementary School,94.33,2160 W Elm St,Wrightsville,GA,31096,32.7266367,-82.7328022
683,Johnson County,197, Johnson County Elementary School,94.33,2160 W Elm St,Wrightsville,GA,31096,32.7266367,-82.7328022
683,Johnson County,201, Johnson County High School ,94.46,150 Herschel Walker Dr,Wrightsville,GA,31097,32.7248029,-82.728392
683,Johnson County,201, Johnson County High School ,94.46,150 Herschel Walker Dr,Wrightsville,GA,31097,32.7248029,-82.728392
683,Johnson County,201, Johnson County High School ,94.46,150 Herschel Walker Dr,Wrightsville,GA,31097,32.1785145,-82.5945783
683,Johnson County,201, Johnson County High School ,94.46,150 Herschel Walker Dr,Wrightsville,GA,31097,32.1785145,-82.5945783
683,Johnson County,101, Johnson County Middle School,94.35,150 Herschel Walker Dr,Wrightsville,GA,31098,32.7249915,-82.7290474
683,Johnson County,101, Johnson County Middle School,94.35,150 Herschel Walker Dr,Wrightsville,GA,31098,32.7249915,-82.7290474
683,Johnson County,101, Johnson County Middle School,94.35,150 Herschel Walker Dr,Wrightsville,GA,31098,30.898887,-83.2839632
683,Johnson County,101, Johnson County Middle School,94.35,150 Herschel Walker Dr,Wrightsville,GA,31098,30.898887,-83.2839632
703,Montgomery County,107, Montgomery County Elementary School,94.82,900 Martin Luther King Dr,Ailey,GA,30410,33.5644337,-84.3868116
