County_ID,County_Name,County_Income,Poverty_Rate,County_Lat,County_Long,Store_Name,Store_Lat,Store_Long,Store_Address,Dist
605,Baldwin County,"36,399.00",92.88,33.081466,-83.228206,Linger Longer Steakhouse,33.4395866,-83.19747919999999,"1 Lake Oconee Trail, Greensboro",24.74416675274841
605,Baldwin County,"36,399.00",92.88,33.081466,-83.228206,Gaby's by the Lake,33.4387125,-83.1924337,"1 Lake Oconee Trail, Greensboro",24.706854593686526
605,Baldwin County,"36,399.00",92.88,33.081466,-83.228206,Ruby Tuesday,33.110224,-83.256479,"2440 North Columbia Street, Milledgeville",2.5724047390880087
605,Baldwin County,"36,399.00",92.88,33.081466,-83.228206,Subway,33.2954859,-83.38897089999999,"201 Walmart Drive, Eatonton",17.444696710035718
631,Clayton County,"32,702.00",92.55,33.506014,-84.357362,Hyatt Regency Atlanta,33.7613755,-84.38735559999999,"265 Peachtree Street Northeast, Atlanta",17.684217030082028
631,Clayton County,"32,702.00",92.55,33.506014,-84.357362,The Varsity,33.7715946,-84.3893032,"61 North Avenue Northwest, Atlanta",18.396173752719818
631,Clayton County,"32,702.00",92.55,33.506014,-84.357362,Mary Mac's Tea Room,33.7728318,-84.3800002,"224 Ponce De Leon Avenue Northeast, Atlanta",18.435309097340255
631,Clayton County,"32,702.00",92.55,33.506014,-84.357362,STATS Brewpub,33.7615127,-84.39629359999999,"300 Marietta Street NorthWest Suite 101, Atlanta",17.75139280894715
633,Cobb County,"63,214.00",39.14,33.962944,-84.544548,Hyatt Regency Atlanta,33.7613755,-84.38735559999999,"265 Peachtree Street Northeast, Atlanta",16.57386701558373
633,Cobb County,"63,214.00",39.14,33.962944,-84.544548,The Varsity,33.7715946,-84.3893032,"61 North Avenue Northwest, Atlanta",15.924775176422449
633,Cobb County,"63,214.00",39.14,33.962944,-84.544548,Mary Mac's Tea Room,33.7728318,-84.3800002,"224 Ponce De Leon Avenue Northeast, Atlanta",16.16136038599187
633,Cobb County,"63,214.00",39.14,33.962944,-84.544548,STATS Brewpub,33.7615127,-84.39629359999999,"300 Marietta Street NorthWest Suite 101, Atlanta",16.291245728798764
634,Coffee County,"35,507.00",87.34,31.508705,-82.850724,Subway,31.5097152,-82.8617336,"919 West Ward Street Suite A, Douglas",0.6535679748364918
634,Coffee County,"35,507.00",87.34,31.508705,-82.850724,Subway,31.5337532,-82.4634602,"928 South Pierce Street, Alma",22.92071558359285
634,Coffee County,"35,507.00",87.34,31.508705,-82.850724,Subway,31.60415859999999,-83.2509305,"802 North Irwin Avenue, Ocilla",24.509437615309164
634,Coffee County,"35,507.00",87.34,31.508705,-82.850724,Ruby Tuesday,31.489787,-82.85051299999999,"1324 South Madison Avenue, Douglas",1.3034421087921984
635,Colquitt County,"37,418.00",86.21,31.190741,-83.789843,Subway,31.5504827,-84.0464653,"814 Radford Loop Bldg 7500, Albany",29.05829757112457
635,Colquitt County,"37,418.00",86.21,31.190741,-83.789843,Quality Inn,31.45760729999999,-83.53159649999999,"1104 King Road, Tifton",23.90189495690112
635,Colquitt County,"37,418.00",86.21,31.190741,-83.789843,Subway,31.442614,-83.54243679999999,"1830 U.S. 82 West, Tifton",22.69901188144692
635,Colquitt County,"37,418.00",86.21,31.190741,-83.789843,Subway,31.1801853,-83.790297,"100 West Central Avenue, Moultrie",0.7277113807692503
644,DeKalb County,"56,428.00",68.56,33.77435,-84.297124,Hyatt Regency Atlanta,33.7613755,-84.38735559999999,"265 Peachtree Street Northeast, Atlanta",5.270229607123462
644,DeKalb County,"56,428.00",68.56,33.77435,-84.297124,The Varsity,33.7715946,-84.3893032,"61 North Avenue Northwest, Atlanta",5.3090010364150695
644,DeKalb County,"56,428.00",68.56,33.77435,-84.297124,Mary Mac's Tea Room,33.7728318,-84.3800002,"224 Ponce De Leon Avenue Northeast, Atlanta",4.771259346748633
644,DeKalb County,"56,428.00",68.56,33.77435,-84.297124,STATS Brewpub,33.7615127,-84.39629359999999,"300 Marietta Street NorthWest Suite 101, Atlanta",5.776448204848779
650,Echols County,"31,945.00",91.26,30.70335,-83.027601,Texas Roadhouse,30.84153999999999,-83.32686,"1874 Club House Drive, Valdosta",20.186749552528138
650,Echols County,"31,945.00",91.26,30.70335,-83.027601,Subway,30.8831945,-83.290679,"3255A Inner Perimeter Road, Valdosta",19.95689384174794
650,Echols County,"31,945.00",91.26,30.70335,-83.027601,Austins Cattle Company,30.8169935,-83.3172407,"2101 West Hill Avenue, Valdosta",18.92617918124133
650,Echols County,"31,945.00",91.26,30.70335,-83.027601,Quality Inn At The Mall - Valdosta,30.84281,-83.323008,"1705 Gornto Road, Valdosta",20.02670935493028
658,Forsyth County,"67,859.00",13.68,34.206598,-84.138697,Dave & Buster's,33.9808546,-84.0786662,"5900 Sugarloaf Parkway Suite 441, Lawrenceville",15.935595089494713
658,Forsyth County,"67,859.00",13.68,34.206598,-84.138697,Quality Inn & Suites,34.358966,-84.03988100000001,"127 Beartooth Parkway, Dawsonville",11.927373385762884
658,Forsyth County,"67,859.00",13.68,34.206598,-84.138697,Outback Steakhouse,34.0455375,-84.29233169999999,"6400 North Point Parkway, Alpharetta",14.169965022723733
658,Forsyth County,"67,859.00",13.68,34.206598,-84.138697,Movie Tavern Tucker,33.8427442,-84.2515201,"4043 Lavista Road, Tucker",25.90068595196074
660,Fulton County,"95,683.00",42.17,33.758231,-84.391101,Hyatt Regency Atlanta,33.7613755,-84.38735559999999,"265 Peachtree Street Northeast, Atlanta",0.3057057056061072
660,Fulton County,"95,683.00",42.17,33.758231,-84.391101,The Varsity,33.7715946,-84.3893032,"61 North Avenue Northwest, Atlanta",0.9268325253999776
